country,year,change
Antarctica,2002,0
Antarctica,2002,19.48
Antarctica,2002,-58.91
Antarctica,2002,47.16
Antarctica,2002,63.42
Antarctica,2002,-67.41
Antarctica,2002,-49.02
Antarctica,2003,-48.42
Antarctica,2003,-199.36
Antarctica,2003,-170.58
Antarctica,2003,-43.24
Antarctica,2003,0.79
Antarctica,2003,-127.98
Antarctica,2003,-121.67
Antarctica,2003,-130.28
Antarctica,2003,-47.47
Antarctica,2003,-106.66
Antarctica,2003,-272.18
Antarctica,2004,-329.2
Antarctica,2004,-491.31
Antarctica,2004,-340.3
Antarctica,2004,-386.05
Antarctica,2004,-155.49
Antarctica,2004,-187.95
Antarctica,2004,-313.33
Antarctica,2004,-165.84
Antarctica,2004,-160.77
Antarctica,2004,-85.93
Antarctica,2004,−226
Antarctica,2004,-305.46
Antarctica,2005,-393.93
Antarctica,2005,-454.97
Antarctica,2005,-405.23
Antarctica,2005,-251.37
Antarctica,2005,-228.44
Antarctica,2005,-203.53
Antarctica,2005,-158.73
Antarctica,2005,-208.9
Antarctica,2005,-112.4
Antarctica,2005,-105.47
Antarctica,2005,-58.46
Antarctica,2005,-159.09
Antarctica,2006,-224.74
Antarctica,2006,-317.94
Antarctica,2006,-182.87
Antarctica,2006,-158.2
Antarctica,2006,-80.91
Antarctica,2006,-48.72
Antarctica,2006,-98.35
Antarctica,2006,-8.54
Antarctica,2006,-20.02
Antarctica,2006,-96.06
Antarctica,2006,-89.3
Antarctica,2006,-234.2
Antarctica,2007,-438.79
Antarctica,2007,-429.59
Antarctica,2007,-361.06
Antarctica,2007,-336.29
Antarctica,2007,-179.53
Antarctica,2007,-191.34
Antarctica,2007,-268.11
Antarctica,2007,-229.94
Antarctica,2007,-156.77
Antarctica,2007,-246.67
Antarctica,2007,-438.39
Antarctica,2007,-521.24
Antarctica,2008,-729.64
Antarctica,2008,-607.59
Antarctica,2008,-740.76
Antarctica,2008,-561.68
Antarctica,2008,-473.58
Antarctica,2008,-557.79
Antarctica,2008,-651.46
Antarctica,2008,-603.25
Antarctica,2008,-442.26
Antarctica,2008,-533.13
Antarctica,2008,-520.47
Antarctica,2008,-624.26
Antarctica,2009,-706.63
Antarctica,2009,-681.11
Antarctica,2009,-617.1
Antarctica,2009,-579.96
Antarctica,2009,-553.68
Antarctica,2009,-540.14
Antarctica,2009,-435.79
Antarctica,2009,-466.54
Antarctica,2009,-480.08
Antarctica,2009,-534.99
Antarctica,2009,-520.87
Antarctica,2009,-630.91
Antarctica,2010,-801.77
Antarctica,2010,-806.65
Antarctica,2010,-687.35
Antarctica,2010,-758.91
Antarctica,2010,-780.45
Antarctica,2010,-793.28
Antarctica,2010,-996.93
Antarctica,2010,-925.89
Antarctica,2010,-847.39
Antarctica,2010,-879.09
Antarctica,2010,-899.52
Antarctica,2010,-912.11
Antarctica,2011,-1001.4
Antarctica,2011,-1017.22
Antarctica,2011,-1029.63
Antarctica,2011,-964.41
Antarctica,2011,-909.93
Antarctica,2011,-926.28
Antarctica,2011,-837.98
Antarctica,2011,-884.18
Antarctica,2011,-879.89
Antarctica,2012,-1147.68
Antarctica,2012,-1077.87
Antarctica,2012,-1140.7
Antarctica,2012,-1118.6
Antarctica,2012,-1056.14
Antarctica,2012,-1094.26
Antarctica,2012,-1061.31
Antarctica,2012,-982.1
Antarctica,2012,-946.36
Antarctica,2012,-1068.3
Antarctica,2012,-1117.28
Antarctica,2013,-1287.44
Antarctica,2013,-1395.07
Antarctica,2013,-1135.15
Antarctica,2013,-1238.44
Antarctica,2013,-1246.58
Antarctica,2013,-1208.61
Antarctica,2013,-1299.13
Antarctica,2013,-1347.41
Antarctica,2013,−1398
Antarctica,2014,-1504.2
Antarctica,2014,-1615.97
Antarctica,2014,-1535.28
Antarctica,2014,-1441.75
Antarctica,2014,-1484.85
Antarctica,2014,-1533.5
Antarctica,2014,-1360.83
Antarctica,2014,-1450.29
Antarctica,2014,-1525.85
Antarctica,2015,-1827.36
Antarctica,2015,-1903.51
Antarctica,2015,-1873.22
Antarctica,2015,-1851.66
Antarctica,2015,-1777.77
Antarctica,2015,-1743.11
Antarctica,2015,-1896.93
Antarctica,2015,-1849.2
Antarctica,2015,-1893.45
Antarctica,2016,-1916.52
Antarctica,2016,-1992.84
Antarctica,2016,-1928.48
Antarctica,2016,-1790.89
Antarctica,2016,-1774.67
Antarctica,2016,-1654.52
Antarctica,2016,-1600.82
Antarctica,2016,-1671.06
Antarctica,2016,-1585.09
Antarctica,2017,-1604.8
Antarctica,2017,-1929.12
Antarctica,2017,-1849.02
Antarctica,2017,-1814.26
Antarctica,2017,-1812.56
Antarctica,2018,-1982.53
Antarctica,2018,-1997.66
Antarctica,2018,-2256.76
Antarctica,2018,-2221.66
Antarctica,2018,-2274.75
Antarctica,2019,-2365.49
Antarctica,2019,-2408.64
Antarctica,2019,-2312.66
Antarctica,2019,-2132.21
Antarctica,2019,-2184.59
Antarctica,2019,-2276.78
Antarctica,2019,-2181.26
Antarctica,2019,-2226.83
Antarctica,2019,-2102.5
Antarctica,2019,-2285.44
Antarctica,2019,-2346.33
Antarctica,2019,-2392.61
Antarctica,2020,-2701.78
Antarctica,2020,-2807.34
Antarctica,2020,-2627.62
Antarctica,2020,-2535.11
Antarctica,2020,-2456.72
Antarctica,2020,-2424.33
Antarctica,2020,-2357.15
Antarctica,2020,-2249.69
Antarctica,2020,-2437.63
Antarctica,2020,-2537.64
Antarctica,2020,-2587.65
Antarctica,2020,−2746
