year,ppm
1900,294.22073
1902,295.61063
1904,295.99136
1905,299.0236
1906,298.47754
1909,301.50415
1910,297.8691
1911,298.36343
1913,301.29773
1914,300.7001
1916,301.91516
1918,303.85223
1919,304.61322
1920,301.87585
1923,304.6901
1925,304.84253
1928,306.84332
1929,305.62305
1931,305.7409
1932,308.25555
1933,307.11163
1934,308.3531
1935,306.3198
1936,308.30164
1937,307.40768
1938,311.0677
1939,310.83423
1940,310.37598
1941,309.77048
1942,312.37192
1944,312.36163
1945,310.93842
1946,312.26343
1947,311.61462
1948,311.57095
1949,309.694
1950,312.83102
1952,312.18445
1954,312.73138
1955,314.71396
1956,315.34207
1957,315.34427
1958,315.3368
1959,314.15894
1960,313.09338
1961,318.20657
1962,317.75082
1963,318.3751
1964,319.12347
1965,319.544
1966,320.98157
1967,321.33356
1969,323.56235
1970,324.55707
1971,325.95483
1972,329.38318
1974,331.5498
1976,332.3657
1977,333.95795
1979,336.85333
1980,338.91083
1981,340.11084
1982,340.85583
1983,342.53
1984,344.07333
1985,345.5375
1986,346.96832
1987,348.68335
1988,351.15918
1989,352.7875
1990,354.0575
1991,355.39334
1992,356.09
1993,356.835
1994,358.32916
1995,360.17166
1996,361.9325
1997,363.0425
1998,365.69583
1999,367.79416
2000,368.965
2001,370.56583
2002,372.58334
2003,375.14084
2004,376.95166
2005,378.98083
2006,381.14835
2007,382.9
2008,385.02084
2009,386.49667
2010,388.75418
2011,390.62082
2012,392.64917
2013,395.39667
2014,397.34418
2015,399.64917
2016,403.06583
2017,405.21667
2018,407.61084
2019,410.07166
2020,412.44333
2021,414.7025
2022,417.085
2023,419.34833
2024,422.77
